JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,
BOM name：bom-JLCPCB Assembly Order.xlsx,,,Download Time：2026-05-28 21:02:38,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：19.6919,,,,,,,,,,,,,
Your BOM,,,,,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"R17,R18",,33R,402,,0402WGF330JTCE,UNI-ROYAL(Uniroyal Elec),0402,-55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25105,https://jlcpcb.com/partdetail/25848-0402WGF330JTCE/C25105,Basic,20,20 JLCPCB,0.014
"R19,R20",,27,201,,0201WMJ0270TEE,UNI-ROYAL(Uniroyal Elec),0201,-55℃~+155℃ 25V 27Ω 50mW Thick Film Resistor ±200ppm/℃ ±5% 0201 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0201WMJ0270TEE) of this part does not match the one (27) provided in your BOM. Please confirm;,C270320,https://jlcpcb.com/partdetail/259850-0201WMJ0270TEE/C270320,Extended,20,20 JLCPCB,0.014
"SW1,SW2",,SW_Push,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,,PTS636SK25SMTRLFS,C&K,"SMD,6x3.5mm","-40℃~+90℃ 12V 2.5N 3.7mm 50mA 6.1mm Gull Wing IP40 No Rectangular Button SPST-NO Surface Mount,Vertical SMD,6x3.5mm Tactile Switches ROHS",Tactile Switches,,C2689642,https://jlcpcb.com/partdetail/CK-PTS636SK25SMTRLFS/C2689642,Extended,5,5 JLCPCB,1.7515
U3,,RP2350B,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,,RP2350B,Raspberry Pi,QFN-80-EP,Power-on reset (POR)、Watchdog reset、External pin reset (NRST)、Built-in general-purpose timer、Integrated LDO、True random number generator (TRNG)、Hardware ECC check、Independent watchdog (IWDG) QFN-80-EP Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C42415655,https://jlcpcb.com/partdetail/RaspberryPi-RP2350B/C42415655,Extended,2,2 JLCPCB,2.505
U4,,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,,NCP1117STAT3G,onsemi,SOT-223,"0.003%Vout 0℃~+125℃@(Ta) 1 1.25V~18.8V 1.2V@(800mA) 1A 20V 6mA 73dB@(120Hz) Adjustable Over Current Protection、Over Temperature Protection Positive SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C20546,https://jlcpcb.com/partdetail/onsemi-NCP1117STAT3G/C20546,Extended,5,5 JLCPCB,1.4755
U5,,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,,W25Q128JVSIQ,Winbond Elec,SOIC-8-208mil,"-40℃~+85℃ 100,000 cycles 120ms@(32KB) 128Mbit 133MHz 1uA 2.7V~3.6V 20 Years 3ms SPI SOIC-8-208mil NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q128JVSIQ) of this part does not match the one (W25Q128JVS) provided in your BOM. Please confirm;,C97521,https://jlcpcb.com/partdetail/WinbondElec-W25Q128JVSIQ/C97521,Basic,2,2 JLCPCB,4.6236
U6,,USBLC6-2SC6,SOT-23-6,,USBLC6-2SC6-ES,ElecSuper,SOT-23-6L,-40℃~+85℃ 0.6pF 15V 1uA 2 4.5A 5V 6V 70W@8/20us ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS,ESD And Surge Protection (TVS/ESD),,C5180249,https://jlcpcb.com/partdetail/ElecSuper-USBLC6_2SC6ES/C5180249,Extended,10,10 JLCPCB,0.276
Y1,,Crystal_GND24,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,,ABM8-272-T3,Abracon LLC,SMD3225-4P,-40℃~+85℃ 10pF 12MHz 50Ω Crystal Oscillator ±30ppm ±30ppm SMD3225-4P Crystals ROHS,Crystals,,C20625731,https://jlcpcb.com/partdetail/AbraconLLC-ABM8_272T3/C20625731,Extended,5,5 JLCPCB,1.4645
"C2,C3,C4",,100uF,CP_Radial_D4.0mm_P1.50mm,,100uF,PANASONIC,CAP-SMD,CAP-SMD New Arrivals ROHS,,,C20618601,https://jlcpcb.com/partdetail/PANASONIC-100uF/C20618601,Extended,6,0 JLCPCB,0
R15,,500,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,500,Keystone,-,- ROHS,BatteryConnector,,C238121,https://jlcpcb.com/partdetail/Keystone-500/C238121,Extended,2,0 JLCPCB,0
R16,,330,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,330,JKL Components,-,14V 80mA - LED Indication - Discrete ROHS,LED Indication - Discrete,,C22190030,https://jlcpcb.com/partdetail/JKLComponents-330/C22190030,Extended,2,0 JLCPCB,0
"U1,U2",,TMC2209_SILENTSTEPSTICK,MODULE_TMC2209_SILENTSTEPSTICK,,TMC2209SILENTSTEPSTICK,TRINAMIC Motion Control GmbH,-,Power Management - Modules ROHS,Modules,1.The comment (TMC2209SILENTSTEPSTICK) of this part does not match the one (TMC2209_SILENTSTEPSTICK) provided in your BOM. Please confirm;,C17375345,https://jlcpcb.com/partdetail/18504516-TMC2209SILENTSTEPSTICK/C17375345,Extended,4,0 JLCPCB,0
"D3,D4,D5",,LED,LED_D3.0mm,,No Part Selected,,,,,,,,,,,
"J1,J2",,Screw_Terminal_01x06,"PhoenixContact_MSTBA_2,5_6-G_1x06_P5.00mm_Horizontal",,No Part Selected,,,,,,,,,,,
J4,,Conn_01x04_Socket,PinSocket_1x04_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
J5,,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
"J6,J7",,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
J8,,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
J10,,Conn_01x20_Pin,PinSocket_1x20_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
"J12,J13,J14,J15,J16,J17",,Conn_01x02_Pin,PinSocket_1x02_P2.54mm_Vertical,,No Part Selected,,,,,,,,,,,
R14,,1.2k,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,,No Part Selected,,,,,,,,,,,
